Name,Email,Email2,Description
Acme Corporation,admin@acme.com,security@acme.com,Technology company
TechFlow Solutions,contact@techflow.io,support@techflow.io,Software development
CyberGuard Inc,info@cyberguard.net,alerts@cyberguard.net,Cybersecurity firm
Global Dynamics,admin@globaldyn.com,,Manufacturing company
SecureNet Ltd,contact@securenet.org,admin@securenet.org,Network security
DataTech Corp,info@datatech.co,compliance@datatech.co,Data analytics
CloudFirst Inc,hello@cloudfirst.com,,Cloud services
FinTech Solutions,contact@fintech.biz,security@fintech.biz,Financial technology
SafeGuard Systems,admin@safeguard.net,operations@safeguard.net,Security systems
InnovateLab,info@innovatelab.io,research@innovatelab.io,Research and development
